"node","time","sensor","temp_C"
21,2026-06-30 06:15:57,"ntc1_C",-16.5338997285684
21,2026-06-30 06:15:57,"ntc2_C",-17.1818071402114
21,2026-06-30 06:15:57,"testSB_C",-16.9372972884156
22,2026-06-30 06:15:57,"ntc1_C",-16.6505939480111
22,2026-06-30 06:15:57,"ntc2_C",-16.7957760235436
22,2026-06-30 06:15:57,"testSB_C",-16.7957889633864
23,2026-06-30 06:15:57,"ntc1_C",-16.7980274484451
23,2026-06-30 06:15:57,"ntc2_C",-16.8389810638799
23,2026-06-30 06:15:57,"testSB_C",-16.626584870359
24,2026-06-30 06:15:57,"ntc1_C",-16.5239786343026
24,2026-06-30 06:15:57,"ntc2_C",-17.1147855605332
1,2026-06-30 10:15:57,"ntc1_C",-12.5300442143229
1,2026-06-30 10:15:57,"ntc2_C",-13.5983548582888
1,2026-06-30 10:15:57,"testSB_C",-12.6310848403273
2,2026-06-30 10:15:57,"ntc1_C",-12.7068952180211
2,2026-06-30 10:15:57,"ntc2_C",-13.2123191853794
2,2026-06-30 10:15:57,"testSB_C",-12.7601635950342
3,2026-06-30 10:15:57,"ntc1_C",-12.6068451227017
3,2026-06-30 10:15:57,"ntc2_C",-13.3579655312941
3,2026-06-30 10:15:57,"testSB_C",-12.948422590219
4,2026-06-30 10:15:57,"ntc1_C",-12.6747656237571
4,2026-06-30 10:15:57,"ntc2_C",-13.6545738473363
4,2026-06-30 10:15:57,"testSB_C",-12.5889979218509
5,2026-06-30 10:15:57,"ntc1_C",-13.821535603849
5,2026-06-30 10:15:57,"ntc2_C",-13.4331730374832
5,2026-06-30 10:15:57,"testSB_C",-12.9856799856014
6,2026-06-30 10:15:57,"ntc1_C",-12.6081959046867
6,2026-06-30 10:15:57,"ntc2_C",-12.8949512413586
6,2026-06-30 10:15:57,"testSB_C",-12.8598630681686
7,2026-06-30 10:15:57,"ntc1_C",-12.8541812588051
7,2026-06-30 10:15:57,"ntc2_C",-13.2300001633995
7,2026-06-30 10:15:57,"testSB_C",-13.4107192942354
8,2026-06-30 10:15:57,"ntc1_C",-12.6866977192939
8,2026-06-30 10:15:57,"ntc2_C",-13.2889129869056
8,2026-06-30 10:15:57,"testSB_C",-13.0788761851669
9,2026-06-30 10:15:57,"ntc1_C",-12.7112231201343
9,2026-06-30 10:15:57,"ntc2_C",-13.0501474515152
9,2026-06-30 10:15:57,"testSB_C",-12.7754416270555
10,2026-06-30 10:15:57,"ntc1_C",-12.9630394249197
10,2026-06-30 10:15:57,"ntc2_C",-13.112200394543
10,2026-06-30 10:15:57,"testSB_C",-13.0182263055071
11,2026-06-30 10:15:57,"ntc1_C",-13.0166405060214
11,2026-06-30 10:15:57,"ntc2_C",-14.0313572341877
11,2026-06-30 10:15:57,"testSB_C",-13.1286848634012
12,2026-06-30 10:15:57,"ntc1_C",-14.0540973557241
12,2026-06-30 10:15:57,"ntc2_C",-13.7982679773833
12,2026-06-30 10:15:57,"testSB_C",-13.0231812151216
13,2026-06-30 10:15:57,"ntc1_C",-12.7393806636005
13,2026-06-30 10:15:57,"ntc2_C",-14.0607984601048
13,2026-06-30 10:15:57,"testSB_C",-12.9726056017486
14,2026-06-30 10:15:57,"ntc1_C",-13.2099909210432
14,2026-06-30 10:15:57,"ntc2_C",-13.0291561600856
14,2026-06-30 10:15:57,"testSB_C",-13.053831873409
15,2026-06-30 10:15:57,"ntc1_C",-13.2047136470333
15,2026-06-30 10:15:57,"ntc2_C",-13.6049384733484
15,2026-06-30 10:15:57,"testSB_C",-13.1372108061462
16,2026-06-30 10:15:57,"ntc1_C",-13.1279716947262
16,2026-06-30 10:15:57,"ntc2_C",-13.7734426664601
16,2026-06-30 10:15:57,"testSB_C",-13.5569221435688
17,2026-06-30 10:15:57,"ntc1_C",-13.047025882574
17,2026-06-30 10:15:57,"ntc2_C",-14.0342009867823
17,2026-06-30 10:15:57,"testSB_C",-13.2502483867246
18,2026-06-30 10:15:57,"ntc1_C",-12.8657430098481
18,2026-06-30 10:15:57,"ntc2_C",-13.5304759297258
18,2026-06-30 10:15:57,"testSB_C",-12.7892000003598
19,2026-06-30 10:15:57,"ntc1_C",-12.931714846311
19,2026-06-30 10:15:57,"ntc2_C",-13.7354004934376
19,2026-06-30 10:15:57,"testSB_C",-13.1658751617575
20,2026-06-30 10:15:57,"ntc1_C",-13.0010663401176
20,2026-06-30 10:15:57,"ntc2_C",-13.6886059784167
20,2026-06-30 10:15:57,"testSB_C",-13.2246368752755
21,2026-06-30 10:15:57,"ntc1_C",-12.8281034656627
21,2026-06-30 10:15:57,"ntc2_C",-13.5696947242447
21,2026-06-30 10:15:57,"testSB_C",-13.2902689751582
22,2026-06-30 10:15:57,"ntc1_C",-12.8427672704997
22,2026-06-30 10:15:57,"ntc2_C",-13.1190931468593
22,2026-06-30 10:15:57,"testSB_C",-13.1210816360186
23,2026-06-30 10:15:57,"ntc1_C",-13.19774092799
23,2026-06-30 10:15:57,"ntc2_C",-13.1225387389497
23,2026-06-30 10:15:57,"testSB_C",-12.8164917376347
24,2026-06-30 10:15:57,"ntc1_C",-12.5780247757694
24,2026-06-30 10:15:57,"ntc2_C",-13.4669841028825
